# 1distance 2Total_prob 3Px_prob 4HIlo 5HIup 6Vol 7Lum
0.889757 0.0211078 0.0235937 1 1 0.8526 1
0.88978 0.0211309 0.0236191 1 1 0.852615 1
0.889803 0.021154 0.0236445 1 1 0.852631 1
0.889826 0.0211772 0.0236699 1 1 0.852646 1
0.889849 0.0212003 0.0236953 1 1 0.852662 1
0.889872 0.0212235 0.0237208 1 1 0.852677 1
0.889895 0.0212467 0.0237463 1 1 0.852692 1
0.889918 0.0212699 0.0237718 1 1 0.852708 1
0.889941 0.0212931 0.0237974 1 1 0.852723 1
0.889963 0.0213164 0.0238229 1 1 0.852738 1
0.889986 0.0213397 0.0238485 1 1 0.852754 1
0.890009 0.021363 0.0238741 1 1 0.852769 1
0.890032 0.0213863 0.0238998 1 1 0.852784 1
0.890055 0.0214096 0.0239254 1 1 0.8528 1
0.890078 0.021433 0.0239511 1 1 0.852815 1
0.890101 0.0214564 0.0239768 1 1 0.85283 1
0.890124 0.0214798 0.0240025 1 1 0.852846 1
0.890147 0.0215032 0.0240283 1 1 0.852861 1
0.89017 0.0215267 0.024054 1 1 0.852876 1
0.890193 0.0215501 0.0240798 1 1 0.852892 1
0.890216 0.0215736 0.0241056 1 1 0.852907 1
0.890239 0.0215971 0.0241315 1 1 0.852923 1
0.890262 0.0216206 0.0241573 1 1 0.852938 1
0.890285 0.0216442 0.0241832 1 1 0.852953 1
0.890308 0.0216678 0.0242091 1 1 0.852969 1
0.890331 0.0216914 0.024235 1 1 0.852984 1
0.890354 0.021715 0.024261 1 1 0.852999 1
0.890377 0.0217386 0.0242869 1 1 0.853015 1
0.8904 0.0217623 0.0243129 1 1 0.85303 1
0.890423 0.021786 0.024339 1 1 0.853045 1
0.890446 0.0218097 0.024365 1 1 0.853061 1
0.890469 0.0218334 0.0243911 1 1 0.853076 1
0.890492 0.0218571 0.0244171 1 1 0.853091 1
0.890514 0.0218809 0.0244432 1 1 0.853107 1
0.890537 0.0219047 0.0244694 1 1 0.853122 1
0.89056 0.0219285 0.0244955 1 1 0.853137 1
0.890583 0.0219523 0.0245217 1 1 0.853153 1
0.890606 0.0219761 0.0245479 1 1 0.853168 1
0.890629 0.022 0.0245741 1 1 0.853183 1
0.890652 0.0220239 0.0246004 1 1 0.853199 1
0.890675 0.0220478 0.0246266 1 1 0.853214 1
0.890698 0.0220718 0.0246529 1 1 0.853229 1
0.890721 0.0220957 0.0246792 1 1 0.853245 1
0.890744 0.0221197 0.0247056 1 1 0.85326 1
0.890767 0.0221437 0.0247319 1 1 0.853275 1
0.89079 0.0221677 0.0247583 1 1 0.853291 1
0.890813 0.0221917 0.0247847 1 1 0.853306 1
0.890836 0.0222158 0.0248112 1 1 0.853321 1
0.890859 0.0222399 0.0248376 1 1 0.853337 1
0.890882 0.022264 0.0248641 1 1 0.853352 1
0.890905 0.0222881 0.0248906 1 1 0.853367 1
0.890928 0.0223123 0.0249171 1 1 0.853382 1
0.890951 0.0223364 0.0249436 1 1 0.853398 1
0.890974 0.0223606 0.0249702 1 1 0.853413 1
0.890997 0.0223848 0.0249968 1 1 0.853428 1
0.89102 0.0224091 0.0250234 1 1 0.853444 1
0.891043 0.0224333 0.02505 1 1 0.853459 1
0.891066 0.0224576 0.0250767 1 1 0.853474 1
0.891088 0.0224819 0.0251034 1 1 0.85349 1
0.891111 0.0225062 0.0251301 1 1 0.853505 1
0.891134 0.0225306 0.0251568 1 1 0.85352 1
0.891157 0.0225549 0.0251836 1 1 0.853536 1
0.89118 0.0225793 0.0252103 1 1 0.853551 1
0.891203 0.0226037 0.0252371 1 1 0.853566 1
0.891226 0.0226281 0.025264 1 1 0.853582 1
0.891249 0.0226526 0.0252908 1 1 0.853597 1
0.891272 0.0226771 0.0253177 1 1 0.853612 1
0.891295 0.0227016 0.0253446 1 1 0.853627 1
0.891318 0.0227261 0.0253715 1 1 0.853643 1
0.891341 0.0227506 0.0253984 1 1 0.853658 1
0.891364 0.0227752 0.0254254 1 1 0.853673 1
0.891387 0.0227997 0.0254524 1 1 0.853689 1
0.89141 0.0228244 0.0254794 1 1 0.853704 1
0.891433 0.022849 0.0255064 1 1 0.853719 1
0.891456 0.0228736 0.0255334 1 1 0.853735 1
0.891479 0.0228983 0.0255605 1 1 0.85375 1
0.891502 0.022923 0.0255876 1 1 0.853765 1
0.891525 0.0229477 0.0256148 1 1 0.85378 1
0.891548 0.0229724 0.0256419 1 1 0.853796 1
0.891571 0.0229972 0.0256691 1 1 0.853811 1
0.891594 0.0230219 0.0256963 1 1 0.853826 1
0.891617 0.0230467 0.0257235 1 1 0.853842 1
0.89164 0.0230716 0.0257507 1 1 0.853857 1
0.891662 0.0230964 0.025778 1 1 0.853872 1
0.891685 0.0231213 0.0258053 1 1 0.853888 1
0.891708 0.0231462 0.0258326 1 1 0.853903 1
0.891731 0.0231711 0.0258599 1 1 0.853918 1
0.891754 0.023196 0.0258873 1 1 0.853933 1
0.891777 0.0232209 0.0259147 1 1 0.853949 1
0.8918 0.0232459 0.0259421 1 1 0.853964 1
0.891823 0.0232709 0.0259695 1 1 0.853979 1
0.891846 0.0232959 0.025997 1 1 0.853995 1
0.891869 0.023321 0.0260244 1 1 0.85401 1
0.891892 0.023346 0.0260519 1 1 0.854025 1
0.891915 0.0233711 0.0260795 1 1 0.85404 1
0.891938 0.0233962 0.026107 1 1 0.854056 1
0.891961 0.0234214 0.0261346 1 1 0.854071 1
0.891984 0.0234465 0.0261622 1 1 0.854086 1
0.892007 0.0234717 0.0261898 1 1 0.854102 1
0.89203 0.0234969 0.0262174 1 1 0.854117 1
0.892053 0.0235221 0.0262451 1 1 0.854132 1
0.892076 0.0235473 0.0262728 1 1 0.854147 1
0.892099 0.0235726 0.0263005 1 1 0.854163 1
0.892122 0.0235979 0.0263282 1 1 0.854178 1
0.892145 0.0236232 0.026356 1 1 0.854193 1
0.892168 0.0236485 0.0263838 1 1 0.854208 1
0.892191 0.0236739 0.0264116 1 1 0.854224 1
0.892213 0.0236992 0.0264394 1 1 0.854239 1
0.892236 0.0237246 0.0264673 1 1 0.854254 1
0.892259 0.02375 0.0264952 1 1 0.85427 1
0.892282 0.0237755 0.0265231 1 1 0.854285 1
0.892305 0.0238009 0.026551 1 1 0.8543 1
0.892328 0.0238264 0.026579 1 1 0.854315 1
0.892351 0.0238519 0.0266069 1 1 0.854331 1
0.892374 0.0238775 0.0266349 1 1 0.854346 1
0.892397 0.023903 0.026663 1 1 0.854361 1
0.89242 0.0239286 0.026691 1 1 0.854376 1
0.892443 0.0239542 0.0267191 1 1 0.854392 1
0.892466 0.0239798 0.0267472 1 1 0.854407 1
0.892489 0.0240054 0.0267753 1 1 0.854422 1
0.892512 0.0240311 0.0268034 1 1 0.854437 1
0.892535 0.0240568 0.0268316 1 1 0.854453 1
0.892558 0.0240825 0.0268598 1 1 0.854468 1
0.892581 0.0241082 0.026888 1 1 0.854483 1
0.892604 0.024134 0.0269163 1 1 0.854498 1
0.892627 0.0241597 0.0269445 1 1 0.854514 1
0.89265 0.0241855 0.0269728 1 1 0.854529 1
0.892673 0.0242114 0.0270011 1 1 0.854544 1
0.892696 0.0242372 0.0270295 1 1 0.854559 1
0.892719 0.0242631 0.0270578 1 1 0.854575 1
0.892742 0.024289 0.0270862 1 1 0.85459 1
0.892765 0.0243149 0.0271146 1 1 0.854605 1
0.892787 0.0243408 0.0271431 1 1 0.85462 1
0.89281 0.0243667 0.0271715 1 1 0.854636 1
0.892833 0.0243927 0.0272 1 1 0.854651 1
0.892856 0.0244187 0.0272285 1 1 0.854666 1
0.892879 0.0244447 0.027257 1 1 0.854681 1
0.892902 0.0244708 0.0272856 1 1 0.854697 1
0.892925 0.0244969 0.0273142 1 1 0.854712 1
0.892948 0.024523 0.0273428 1 1 0.854727 1
0.892971 0.0245491 0.0273714 1 1 0.854742 1
0.892994 0.0245752 0.0274001 1 1 0.854758 1
0.893017 0.0246014 0.0274287 1 1 0.854773 1
0.89304 0.0246275 0.0274574 1 1 0.854788 1
0.893063 0.0246538 0.0274862 1 1 0.854803 1
0.893086 0.02468 0.0275149 1 1 0.854819 1
0.893109 0.0247062 0.0275437 1 1 0.854834 1
0.893132 0.0247325 0.0275725 1 1 0.854849 1
0.893155 0.0247588 0.0276013 1 1 0.854864 1
0.893178 0.0247851 0.0276302 1 1 0.85488 1
0.893201 0.0248115 0.027659 1 1 0.854895 1
0.893224 0.0248378 0.0276879 1 1 0.85491 1
0.893247 0.0248642 0.0277169 1 1 0.854925 1
0.89327 0.0248906 0.0277458 1 1 0.85494 1
0.893293 0.0249171 0.0277748 1 1 0.854956 1
0.893316 0.0249435 0.0278038 1 1 0.854971 1
0.893339 0.02497 0.0278328 1 1 0.854986 1
0.893361 0.0249965 0.0278618 1 1 0.855001 1
0.893384 0.025023 0.0278909 1 1 0.855017 1
0.893407 0.0250496 0.02792 1 1 0.855032 1
0.89343 0.0250761 0.0279491 1 1 0.855047 1
0.893453 0.0251027 0.0279783 1 1 0.855062 1
0.893476 0.0251293 0.0280074 1 1 0.855078 1
0.893499 0.025156 0.0280366 1 1 0.855093 1
0.893522 0.0251826 0.0280658 1 1 0.855108 1
0.893545 0.0252093 0.0280951 1 1 0.855123 1
0.893568 0.025236 0.0281243 1 1 0.855138 1
0.893591 0.0252628 0.0281536 1 1 0.855154 1
0.893614 0.0252895 0.0281829 1 1 0.855169 1
0.893637 0.0253163 0.0282123 1 1 0.855184 1
0.89366 0.0253431 0.0282416 1 1 0.855199 1
0.893683 0.0253699 0.028271 1 1 0.855215 1
0.893706 0.0253968 0.0283005 1 1 0.85523 1
0.893729 0.0254237 0.0283299 1 1 0.855245 1
0.893752 0.0254505 0.0283594 1 1 0.85526 1
0.893775 0.0254775 0.0283888 1 1 0.855275 1
0.893798 0.0255044 0.0284184 1 1 0.855291 1
0.893821 0.0255314 0.0284479 1 1 0.855306 1
0.893844 0.0255584 0.0284775 1 1 0.855321 1
0.893867 0.0255854 0.028507 1 1 0.855336 1
0.89389 0.0256124 0.0285367 1 1 0.855351 1
0.893912 0.0256395 0.0285663 1 1 0.855367 1
0.893935 0.0256665 0.028596 1 1 0.855382 1
0.893958 0.0256936 0.0286256 1 1 0.855397 1
0.893981 0.0257208 0.0286554 1 1 0.855412 1
0.894004 0.0257479 0.0286851 1 1 0.855427 1
0.894027 0.0257751 0.0287149 1 1 0.855443 1
0.89405 0.0258023 0.0287447 1 1 0.855458 1
0.894073 0.0258295 0.0287745 1 1 0.855473 1
0.894096 0.0258567 0.0288043 1 1 0.855488 1
0.894119 0.025884 0.0288342 1 1 0.855503 1
0.894142 0.0259113 0.0288641 1 1 0.855519 1
0.894165 0.0259386 0.028894 1 1 0.855534 1
0.894188 0.025966 0.0289239 1 1 0.855549 1
0.894211 0.0259933 0.0289539 1 1 0.855564 1
0.894234 0.0260207 0.0289839 1 1 0.855579 1
0.894257 0.0260481 0.0290139 1 1 0.855595 1
0.89428 0.0260755 0.0290439 1 1 0.85561 1
0.894303 0.026103 0.029074 1 1 0.855625 1
0.894326 0.0261305 0.0291041 1 1 0.85564 1
0.894349 0.026158 0.0291342 1 1 0.855655 1
